('16:03:16', '16:03:16', 0.014857769012451172)
('16:03:16', '16:03:17', 0.03075885772705078)
('16:03:17', '16:03:17', 0.031072139739990234)
('16:03:17', '16:03:17', 0.04590010643005371)
('16:03:17', '16:03:17', 0.015576839447021484)
('16:03:17', '16:03:17', 0.0159609317779541)
('16:03:17', '16:03:17', 0.015381097793579102)
('16:03:18', '16:03:18', 0.01588916778564453)
('16:03:18', '16:03:18', 0.01588582992553711)
('16:03:18', '16:03:18', 0.015406131744384766)
('16:03:18', '16:03:18', 0.015437841415405273)
('16:03:18', '16:03:18', 0.01576685905456543)
('16:03:19', '16:03:19', 0.015422821044921875)
('16:03:19', '16:03:19', 0.015369892120361328)
('16:03:19', '16:03:19', 0.015345096588134766)
('16:03:19', '16:03:19', 0.015446186065673828)
('16:03:19', '16:03:19', 0.015404939651489258)
('16:03:19', '16:03:19', 0.011938095092773438)
('16:03:20', '16:03:20', 0.015481948852539062)
('16:03:20', '16:03:20', 0.015600919723510742)
('16:03:20', '16:03:20', 0.01581406593322754)
('16:03:20', '16:03:20', 0.015362024307250977)
('16:03:20', '16:03:21', 0.01550602912902832)
('16:03:21', '16:03:21', 0.03168296813964844)
('16:03:21', '16:03:21', 0.015510082244873047)
('16:03:21', '16:03:21', 0.015414953231811523)
('16:03:21', '16:03:21', 0.015419960021972656)
('16:03:22', '16:03:22', 0.015583038330078125)
('16:03:22', '16:03:22', 0.016025066375732422)
('16:03:22', '16:03:22', 0.01594996452331543)
('16:03:22', '16:03:22', 0.015542030334472656)
('16:03:23', '16:03:23', 0.03130698204040527)
('16:03:23', '16:03:23', 0.015465021133422852)
('16:03:23', '16:03:23', 0.015472888946533203)
('16:03:23', '16:03:23', 0.015398025512695312)
('16:03:23', '16:03:23', 0.014901876449584961)
('16:03:24', '16:03:24', 0.015887022018432617)
('16:03:24', '16:03:24', 0.03154301643371582)
('16:03:24', '16:03:24', 0.015455007553100586)
('16:03:24', '16:03:24', 0.015932083129882812)
('16:03:24', '16:03:24', 0.015460968017578125)
('16:03:25', '16:03:25', 0.01593494415283203)
('16:03:25', '16:03:25', 0.015305042266845703)
('16:03:25', '16:03:25', 0.09396195411682129)
('16:03:25', '16:03:25', 0.015448808670043945)
('16:03:25', '16:03:25', 0.016000986099243164)
('16:03:25', '16:03:26', 0.015424013137817383)
('16:03:26', '16:03:26', 0.014890193939208984)
('16:03:26', '16:03:26', 0.01588606834411621)
('16:03:26', '16:03:26', 0.015510797500610352)
('16:03:26', '16:03:26', 0.015485048294067383)
('16:03:26', '16:03:26', 0.015461921691894531)
('16:03:27', '16:03:27', 0.03094792366027832)
('16:03:27', '16:03:27', 0.015424013137817383)
('16:03:27', '16:03:27', 0.031225919723510742)
('16:03:27', '16:03:27', 0.03161478042602539)
('16:03:28', '16:03:28', 0.015435934066772461)
('16:03:28', '16:03:28', 0.01695418357849121)
('16:03:28', '16:03:28', 0.017013072967529297)
('16:03:28', '16:03:28', 0.01541590690612793)
('16:03:28', '16:03:28', 0.015435934066772461)
('16:03:29', '16:03:29', 0.0)
('16:03:29', '16:03:29', 0.030953168869018555)
('16:03:29', '16:03:29', 0.031087875366210938)
('16:03:29', '16:03:29', 0.015141010284423828)
('16:03:29', '16:03:29', 0.015441179275512695)
('16:03:30', '16:03:30', 0.03128695487976074)
('16:03:30', '16:03:30', 0.015482902526855469)
('16:03:30', '16:03:30', 0.015455007553100586)
('16:03:30', '16:03:30', 0.015418052673339844)
('16:03:30', '16:03:30', 0.015423059463500977)
('16:03:31', '16:03:31', 0.015249013900756836)
('16:03:31', '16:03:31', 0.015508174896240234)
('16:03:31', '16:03:31', 0.015481948852539062)
